İçerik,Video başlığı,Videonun yayınlanma tarihi,Süre,Görüntüleme,Ortalama görüntüleme süresi,Ortalama görüntüleme yüzdesi (%)
Toplam,,,,768018,0:00:57,35.63
0u1fjl7Is60,🚀 | DERECE ÖĞRENCİLERİ KAÇ NETLE BAŞLADI?? #yks,"Nov 13, 2024",31,176190,0:00:24,79.89
n4s0hFrR2MQ,⏰ | DERECE ÖĞRENCİLERİ GÜNDE KAÇ SAAT DERS ÇALIŞTI??,"Nov 16, 2024",42,98563,0:00:26,62.92
dYNl0b7gkJc,🤩 | YKS’nin en önemli kuralı!,"Sep 2, 2024",31,50296,0:00:27,87.1
SWKw4t8hxtk,Türkçe'de 35+ yapmak için bugün 0'dan başla! #tyt #paragraf #tyttürkçe,"Nov 29, 2024",607,42764,0:02:47,27.62
IPid6qcx7pI,1 ayda TYT'de tam 27 NET arttırdım! | kimse bu taktikleri uygulamıyor,"Nov 14, 2024",503,35159,0:02:37,31.34
ZTizQsw8B0k,son 99 günde ilk 10.000 nasıl yaptım? | SAY 606. SI & SAY 10.168. Sİ,"Mar 1, 2024",394,29500,0:02:15,34.45
lTMb_ip6A4M,sayısal 606. sı yaptıran yaz tatili rutinim | derece isteyen 12. sınıflar izlesin! #yks #yks2025,"Jul 5, 2024",677,27652,0:03:21,29.73
JkXLz4hNcjU,😬 | “Keşke” dememek için şimdi başla…,"Nov 7, 2024",9,23508,0:00:10,119.44
cGjHquagrug,bu video matematik netlerini arttıracak! (her seviye izlesin),"Mar 13, 2024",501,21291,0:02:49,33.93
um72XiFE03w,yks nasıl kazanılır? (basitçe),"Feb 24, 2024",603,18228,0:02:41,26.71
BDohHK8_D4I,🤦‍♂️ | herkesin yaşadığı o diyalog…,"Nov 21, 2024",4,11172,0:00:07,196.14
14kZFqf0cPw,bu hissi yaşayan bilir😞,"Jul 5, 2024",8,10924,0:00:12,152.46
U5VKRAYVyKY,✅ | YKS SORU & CEVAP 3. BÖLÜM,"Sep 8, 2024",20,10868,0:00:17,88.12
SQAqFfxY6bQ,🤔 | Dershane gerçekten gerekli mi?,"Oct 14, 2024",9,9956,0:00:14,163.97
UG7NU2Hgv5c,kimler böyle? #yks2025 #coachify,"Jul 1, 2024",10,8455,0:00:10,105.32
OgGiABTpadg,😞 | biz üzülmüyo muyuz?,"Mar 6, 2024",16,8396,0:00:13,85.32
ATf8twDvm98,✅ | YKS SORU & CEVAP 7. BÖLÜM,"Oct 20, 2024",23,8360,0:00:17,73.93
Nh2zQG78oKs,"tyt matematik 3,5 NET'TEN 40 NET'E nasıl çıktım? | uyguladığım tüm yöntemler!","Nov 22, 2024",703,8037,0:02:52,24.51
G1kLlkVbDIE,sen pişman mısın? 🤷‍♂️,"Dec 2, 2024",18,7599,0:00:14,78.65
nnKXsYezmo4,✅ | YKS SORU & CEVAP 6. BÖLÜM,"Oct 13, 2024",26,7244,0:00:19,76.11
YYSPQALbsgY,✅ | YKS SORU & CEVAP 5. BÖLÜM,"Sep 20, 2024",18,6891,0:00:15,83.95
SsM2ylY82sc,💯SON 100 GÜNDE NE YAPABİLİRSİN?,"Feb 29, 2024",23,6315,0:00:17,74.55
Ax150gNlOUk,"💪 | MSÜ sonrası vazgeçmeyin, yeni başlıyoruz","Mar 3, 2024",13,5868,0:00:12,92.8
x_9uTMPkrxY,TYT’de En Etkili Çözme Sırası🫨,"Feb 12, 2024",10,5480,0:00:11,113.92
QYs_0cDSJXo,✅ | YKS SORU & CEVAP 8. BÖLÜM,"Oct 28, 2024",27,5214,0:00:19,73.81
4d6bwNL9d9w,✈️ | yavaş yavaaşşş…,"Nov 18, 2024",6,5173,0:00:09,158.12
znSBsDuM3eQ,😅 | yaşanan o sahte mutluluk…,"Oct 26, 2024",5,4881,0:00:09,196.05
Jc2LCsEXqjU,😪 | YKS bazen çok yoruyor…,"Sep 7, 2024",10,4850,0:00:10,107.01
yVCKHqTrgR0,SİZ (YKS) NE İSTİYOSUNUZ ABİ?📚,"Feb 14, 2024",23,4815,0:00:16,70.58
I0hG7XKYzck,😪 | antrenmanlarla mat çözenin YKS’de daha iyi yapacağını bilmeyen yoktur…,"Sep 9, 2024",27,4243,0:00:20,74.15
