Tarih,Görüntüleme
2024-01-01,9
2024-01-02,13
2024-01-03,12
2024-01-04,3
2024-01-05,6
2024-01-06,5
2024-01-07,7
2024-01-08,6
2024-01-09,2
2024-01-10,8
2024-01-11,2
2024-01-12,2
2024-01-13,8
2024-01-14,16
2024-01-15,8
2024-01-16,7
2024-01-17,12
2024-01-18,6
2024-01-19,16
2024-01-20,16
2024-01-21,12
2024-01-22,22
2024-01-23,7
2024-01-24,16
2024-01-25,9
2024-01-26,9
2024-01-27,7
2024-01-28,15
2024-01-29,16
2024-01-30,12
2024-01-31,3
2024-02-01,9
2024-02-02,6
2024-02-03,11
2024-02-04,8
2024-02-05,3
2024-02-06,7
2024-02-07,14
2024-02-08,11
2024-02-09,17
2024-02-10,11
2024-02-11,27
2024-02-12,2176
2024-02-13,742
2024-02-14,2530
2024-02-15,511
2024-02-16,42
2024-02-17,8
2024-02-18,99
2024-02-19,44
2024-02-20,7
2024-02-21,18
2024-02-22,11
2024-02-23,6
2024-02-24,85
2024-02-25,727
2024-02-26,656
2024-02-27,569
2024-02-28,5770
2024-02-29,3508
2024-03-01,3410
2024-03-02,4224
2024-03-03,7518
2024-03-04,7353
2024-03-05,5094
2024-03-06,9818
2024-03-07,3715
2024-03-08,1698
2024-03-09,1757
2024-03-10,1033
2024-03-11,892
2024-03-12,768
2024-03-13,3988
2024-03-14,7883
2024-03-15,3356
2024-03-16,2586
2024-03-17,2654
2024-03-18,2130
2024-03-19,1458
2024-03-20,1119
2024-03-21,2054
2024-03-22,3330
2024-03-23,1250
2024-03-24,1751
2024-03-25,855
2024-03-26,589
2024-03-27,390
2024-03-28,361
2024-03-29,429
2024-03-30,212
2024-03-31,221
2024-04-01,223
2024-04-02,111
2024-04-03,112
2024-04-04,71
2024-04-05,71
2024-04-06,57
2024-04-07,51
2024-04-08,57
2024-04-09,41
2024-04-10,40
2024-04-11,40
2024-04-12,40
2024-04-13,66
2024-04-14,34
2024-04-15,39
2024-04-16,53
2024-04-17,63
2024-04-18,44
2024-04-19,68
2024-04-20,52
2024-04-21,63
2024-04-22,35
2024-04-23,39
2024-04-24,52
2024-04-25,51
2024-04-26,54
2024-04-27,34
2024-04-28,27
2024-04-29,30
2024-04-30,32
2024-05-01,33
2024-05-02,22
2024-05-03,18
2024-05-04,34
2024-05-05,27
2024-05-06,18
2024-05-07,27
2024-05-08,14
2024-05-09,14
2024-05-10,17
2024-05-11,20
2024-05-12,25
2024-05-13,13
2024-05-14,22
2024-05-15,21
2024-05-16,23
2024-05-17,18
2024-05-18,20
2024-05-19,16
2024-05-20,14
2024-05-21,16
2024-05-22,31
2024-05-23,24
2024-05-24,6
2024-05-25,9
2024-05-26,20
2024-05-27,7
2024-05-28,8
2024-05-29,12
2024-05-30,19
2024-05-31,10
2024-06-01,12
2024-06-02,15
2024-06-03,21
2024-06-04,15
2024-06-05,21
2024-06-06,25
2024-06-07,43
2024-06-08,5
2024-06-09,13
2024-06-10,4
2024-06-11,10
2024-06-12,2
2024-06-13,5
2024-06-14,7
2024-06-15,6
2024-06-16,3
2024-06-17,5
2024-06-18,2
2024-06-19,11
2024-06-20,88
2024-06-21,477
2024-06-22,40
2024-06-23,35
2024-06-24,882
2024-06-25,16
2024-06-26,11
2024-06-27,13
2024-06-28,177
2024-06-29,38
2024-06-30,32
2024-07-01,1132
2024-07-02,1517
2024-07-03,2254
2024-07-04,961
2024-07-05,5074
2024-07-06,6543
2024-07-07,6123
2024-07-08,4769
2024-07-09,3508
2024-07-10,1389
2024-07-11,1083
2024-07-12,863
2024-07-13,752
2024-07-14,668
2024-07-15,590
2024-07-16,1102
2024-07-17,1236
2024-07-18,887
2024-07-19,1010
2024-07-20,834
2024-07-21,790
2024-07-22,791
2024-07-23,899
2024-07-24,887
2024-07-25,724
2024-07-26,618
2024-07-27,449
2024-07-28,386
2024-07-29,431
2024-07-30,344
2024-07-31,196
2024-08-01,268
2024-08-02,350
2024-08-03,212
2024-08-04,141
2024-08-05,110
2024-08-06,91
2024-08-07,93
2024-08-08,54
2024-08-09,53
2024-08-10,53
2024-08-11,39
2024-08-12,43
2024-08-13,55
2024-08-14,70
2024-08-15,32
2024-08-16,67
