Month,Student Gain,Total Spending,Total ROI,Google Ads,Instagram,Geliştirme,Ekstra,google ads,instagram,tally,geliştirme,Reklam Ödeme,ekstra
01,11,12574.0,0.5686336885637029,6250.0,3798.0,726.0,1800.0,,,,,,
02,14,6500.0,1.4,3500.0,461.0,726.0,1800.0,,,,,,
03,17,9052.0,1.220724701723376,,,2460.0,,147.0,5400.0,965.0,,,
04,4,4597.0,0.5655862519034153,,,1501.0,,0.0,1630.0,976.0,,,
05,0,1820.0,0.0,,,856.0,,0.0,0.0,964.0,,,
06,3,1250.0,1.56,,,,,,,,1250.0,,
07,7,2086.0,2.5167785234899327,,,2086.0,,,,,,,
08,5,2310.0,1.8398268398268398,,,,,,,,2310.0,,
09,39,32019.0,1.0353227771010962,,,11428.0,,,,,,15071.0,1340.0
10,18,31117.0,0.4916926438924061,,,6850.0,,,,,,21169.0,1199.0
11,42,46905.0,0.7611128877518388,,,15938.0,,,,,,30967.0,
12,27,0.0,0.0,,,,,,,,,,
