HARCAMAYI YAPAN KİŞİ,PLATFORM,REKLAM TÜRÜ,INFLUENCER,FİYAT,PAYMENT MONTH
EFE,REKLAM ÖDEME,insta,,5435.0,Unknown
COACHIFY HESABI,15.189,,,,Unknown
COACHIFY HESABI,24.871,,,,February
Coachify,Mentor Ödeme,,,5550.0,January
Coachify,Mentor Ödeme,,,4500.0,January
Coachify,Mentor Ödeme,,,1250.0,January
Coachify,Mentor Ödeme,,,1200.0,January
Coachify,Mentor Ödeme,,,4300.0,January
Coachify,Telefon,,,327.0,January
Coachify,Reklam Ödeme,google ads,,670.0,January
Coachify,Reklam Ödeme,google ads,,500.0,January
Coachify,Reklam Ödeme,instagram,,180.0,January
Coachify,Reklam Ödeme,google ads,,500.0,January
Coachify,İade,,,300.0,January
Coachify,Geliştirme,chatgpt,,626.0,January
Coachify,Reklam Ödeme,instagram,,180.0,January
Coachify,Reklam Ödeme,google ads,,500.0,January
Coachify,İade,,,1299.0,January
Coachify,İade,,,899.0,January
Coachify,Reklam Ödeme,google ads,,500.0,January
Coachify,İade,,,1299.0,January
Coachify,Reklam Ödeme,google ads,,500.0,January
Coachify,Canva,,,100.0,January
Coachify,Reklam Ödeme,google ads,,500.0,January
Coachify,Reklam Ödeme,instagram,,101.0,January
Coachify,Reklam Ödeme,google ads,,500.0,January
Coachify,Reklam Ödeme,sabancitalks,,750.0,January
Coachify,Ekstra,,,1800.0,January
Coachify,Öğrenci,"vinkampüs, kübra ateş",,156.0,January
Coachify,Kar,Kar,,10000.0,January
Coachify,Reklam Ödeme,google ads,,668.0,February
Coachify,Reklam Ödeme,google ads,,400.0,February
Coachify,Mentor Ödeme,,,3600.0,February
Coachify,Reklam Ödeme,google ads,,500.0,February
Coachify,Reklam Ödeme,tally,,913.0,February
Coachify,Reklam Ödeme,google ads,,500.0,February
Coachify,Mentor Ödeme,,,100.0,February
Coachify,Reklam Ödeme,google ads,,500.0,February
Coachify,Mentor Ödeme,,,4200.0,February
Coachify,Geliştirme,chatgpt,,640.0,February
Coachify,Reklam Ödeme,google ads,,500.0,February
Coachify,Reklam Ödeme,instagram,,240.0,February
Coachify,Reklam Ödeme,google ads,,500.0,February
Coachify,Mentor Ödeme,,,2100.0,February
Coachify,Mentor Ödeme,,,240.0,February
Coachify,Geliştirme,turkcell,,345.0,February
Coachify,Reklam Ödeme,instagram,,1200.0,February
Coachify,Geliştirme,canva,,100.0,February
Coachify,Mentor Ödeme,,,3750.0,February
Coachify,Geliştirme,shopier,,400.0,February
Coachify,Kar,Kar,,10000.0,February
Coachify,İade,,,1300.0,February
Coachify,Reklam Ödeme,google ads,,147.0,March
Coachify,Kar,Kar,,5000.0,March
Coachify,Reklam Ödeme,instagram,,1800.0,March
Coachify,Geliştirme,tally,,965.0,March
Coachify,Reklam Ödeme,influencer,oremikkks,500.0,March
Coachify,Reklam Ödeme,instagram,,3000.0,March
Coachify,Reklam Ödeme,instagram,,100.0,March
Coachify,Mentor Ödeme,,,5700.0,March
Coachify,Geliştirme,chatgpt,,680.0,March
Coachify,Mentor Ödeme,,,5460.0,March
Coachify,Geliştirme,canva,,100.0,March
Coachify,Mentor Ödeme,,,7320.0,March
Coachify,Geliştirme,shopier,,1680.0,March
Coachify,Kar,Kar,,12000.0,March
Coachify,İade,,,1300.0,April
Coachify,Kar,,,1300.0,April
Coachify,Geliştirme,tally,,976.0,April
Coachify,Kar,,,2000.0,April
Coachify,Kar,,,9000.0,April
Coachify,Mentor Ödeme,,,9000.0,April
Coachify,Geliştirme,turkcell,,268.0,April
Coachify,Reklam Ödeme,instagram,,1630.0,April
Coachify,Geliştirme,chatgpt,,680.0,April
Coachify,Mentor Ödeme,,,3600.0,April
Coachify,Mentor Ödeme,,,9000.0,April
Coachify,Geliştirme,canva,,100.0,April
Coachify,Mentor Ödeme,,,600.0,April
Coachify,Mentor Ödeme,,,300.0,April
Coachify,Geliştirme,shopier,,453.0,April
Coachify,Geliştirme,tally,,964.0,May
Coachify,Kar,,,8000.0,May
Coachify,Mentor Ödeme,,,5700.0,May
Coachify,Geliştirme,chatgpt,,676.0,May
Coachify,Mentor Ödeme,,,4800.0,May
Coachify,Geliştirme,canva,,100.0,May
Coachify,Mentor Ödeme,,,4800.0,May
Coachify,Geliştirme,Shopier,,80.0,May
Coachify,Geliştirme,tally,,970.0,June
Coachify,Mentor Ödeme,,,5100.0,June
Coachify,Mentor Ödeme,,,750.0,June
Coachify,Mentor Ödeme,,,750.0,June
Coachify,Geliştirme,canva,,100.0,June
Coachify,Geliştirme,capcut,,100.0,June
Coachify,Geliştirme,shopier,,80.0,June
Coachify,geliştirme,tally,,990.0,July
Coachify,mentor ödeme,,,250.0,July
Coachify,mentor ödeme,,,2000.0,July
Coachify,geliştirme,capcut pro,,250.0,July
Coachify,mentor ödeme,,,2000.0,July
Coachify,geliştirme,canva,,100.0,July
Coachify,ekstra,,,630.0,July
Coachify,mentor ödeme,,,,Unknown
Coachify,geliştirme,shopier,,746.0,July
Coachify,mentor ödeme,,,1200.0,August
Coachify,geliştirme,tally,,992.0,August
Coachify,geliştirme,telefon,,518.0,August
Coachify,ekstra,,,2560.0,August
Coachify,geliştirme,canva,,100.0,August
Coachify,mentor ödeme,,,1950.0,August
Coachify,geliştirme,capcut,,260.0,August
Coachify,mentor ödeme,kemal + efe,,5000.0,August
Coachify,geliştirme,shopier,,440.0,August
Coachify,Reklam Ödeme,influencer,irem gülen,500.0,September
Coachify,Reklam Ödeme,influencer,zeynep şaşmaz,1500.0,September
Coachify,geliştirme,tally,,1028.0,September
Coachify,iade,ömer gönül,,1500.0,September
Coachify,mentor ödeme,,,750.0,September
Efe,Reklam Ödeme,instagram,,3000.0,September
Coachify,Reklam Ödeme,instagram,,509.0,September
Coachify,geliştirme,elementor pro,,3400.0,September
Coachify,Reklam Ödeme,instagram,,2400.0,September
Coachify,Mentor ödeme,,,750.0,September
Coachify,Reklam Ödeme,instagram,,2645.0,September
Coachify,Reklam Ödeme,influencer,irem gülen,500.0,September
Coachify,Reklam Ödeme,instagram,,2645.0,September
Coachify,geliştirme,canva,,100.0,September
Coachify,mentor ödeme,,,940.0,September
Coachify,Reklam Ödeme,instagram,,122.0,September
Coachify,ekstra,mentor buluşması,,1340.0,September
Coachify,mentor ödeme,kemal + efe,,7000.0,September
Coachify,Kar,Kar,,25000.0,September
Coachify,iade,iade - shopier,,2680.0,September
Coachify,geliştirme,shopier,,6900.0,September
Coachify,Reklam Ödeme,indirim kodu - öğrenci,,500.0,September
Coachify,Reklam Ödeme,komisyon - influencer,,750.0,September
Coachify,Mentor Ödeme,,,1700.0,October
Coachify,Reklam Ödeme,instagram,,2645.0,October
Coachify,Reklam Ödeme,iremgulen tiktok öne çıkartma,,360.0,October
Coachify,Reklam Ödeme,iremgulen tiktok öne çıkartma,,360.0,October
Coachify,Geliştirme,tallly,,1018.0,October
Coachify,Mentor Ödeme,,,5440.0,October
Coachify,Reklam Ödeme,instagram,,1934.0,October
Coachify,Reklam Ödeme,iremgulen tiktok öne çıkartma,,1400.0,October
Coachify,Reklam Ödeme,mina tiktok böne çıkartma,,240.0,October
Coachify,Mentor Ödeme,,,8450.0,October
Coachify,Reklam Ödeme,instagram,,2645.0,October
Coachify,Mentor Ödeme,efe enes baştuğ,,375.0,October
Coachify,Reklam Ödeme,mina tiktok öne çıkartma,,1680.0,October
Coachify,Reklam Ödeme,instagram,,2885.0,October
Coachify,Geliştirme,chatgpt,,715.0,October
Coachify,Mentor Ödeme,,,1875.0,October
Coachify,Geliştirme,canva,,100.0,October
Coachify,Reklam Ödeme,instagram,,2885.0,October
Coachify,ekstra,toplantı taksi parası,,600.0,October
Coachify,ekstra,efe pazarlama eğitimi,,599.0,October
Coachify,Reklam Ödeme,Instagram,,2885.0,October
Coachify,Mentor Ödeme,,,9000.0,October
Coachify,Mentor Ödeme,kemal,,3750.0,October
Coachify,Reklam Ödeme,influencer ücretsiz koçluk,,1250.0,October
Coachify,Geliştirme,shopier,,5017.0,October
Coachify,iade,iade - shopier,,1899.0,October
-,KAR,EKİM KARI,bu para çekilmedi,29729.0,October
Coachify,Reklam Ödeme,tiktok foto - çiçeksepeti,oremikks,438.0,November
Coachify,Mentor Ödeme,,,5940.0,November
Coachify,Geliştirme,editör,,400.0,November
Coachify,Geliştirme,editör,,400.0,November
Coachify,Geliştirme,telefon,,705.0,November
Coachify,Geliştirme,tally,,1017.0,November
Coachify,Geliştirme,editör,,400.0,November
Coachify,Mentor Ödeme,,,720.0,November
Coachify,Reklam Ödeme,instagram,,1507.0,November
Coachify,Reklam Ödeme,instagram,,2880.0,November
Coachify,Mentor Ödeme,,,9500.0,November
Coachify,Geliştirme,editör,5 reels,1700.0,November
Efe,Reklam Ödeme,instagram,,2880.0,November
Coachify,Reklam Ödeme,instagram,,2880.0,November
Coachify,Reklam Ödeme,tiktok fotoğrafları,oremikks,1000.0,November
Coachify,Mentor Ödeme,,,11400.0,November
Coachify,Geliştirme,telefon,,217.0,November
Coachify,Geliştirme,chatgpt,,719.0,November
Coachify,Reklam Ödeme,instagram,,2880.0,November
Efe,Reklam Ödeme,instagram,,297.0,November
Coachify,Geliştirme,editör,5 reels,1650.0,November
Coachify,Geliştirme,vidiq,,34.0,November
Coachify,Geliştirme,canva,,99.0,November
Coachify,Ekstra,MÜKELLEF,,31505.0,November
Efe,Ekstra,Marka Tescil,,1630.0,November
Coachify,Mentor Ödeme,,,11165.0,November
Coachify,Geliştirme,convertkit,,1029.0,November
Coachify,Geliştirme,wetransfer,,425.0,November
Efe,Reklam Ödeme,instagram,,2885.0,November
Coachify,Geliştirme,editör,5 reels + youtube,2650.0,November
Coachify,Reklam Ödeme,influencer,rizarubey,1700.0,November
Coachify,Geliştirme,shopier,,4493.0,November
Coachify,Mentor Ödeme,kemal,,3750.0,November
Coachify,İade,,,3798.0,November
Coachify,Reklam Ödeme,ücretsiz koçluk,,2500.0,November
Coachify,Reklam Ödeme,black friday,,9120.0,November
